file_path,machine_id,condition,label,original_wav
data/processed\00_abnormal_00000000.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000000.wav
data/processed\00_abnormal_00000001.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000001.wav
data/processed\00_abnormal_00000002.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000002.wav
data/processed\00_abnormal_00000003.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000003.wav
data/processed\00_abnormal_00000004.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000004.wav
data/processed\00_abnormal_00000005.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000005.wav
data/processed\00_abnormal_00000006.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000006.wav
data/processed\00_abnormal_00000007.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000007.wav
data/processed\00_abnormal_00000008.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000008.wav
data/processed\00_abnormal_00000009.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000009.wav
data/processed\00_abnormal_00000010.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000010.wav
data/processed\00_abnormal_00000011.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000011.wav
data/processed\00_abnormal_00000012.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000012.wav
data/processed\00_abnormal_00000013.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000013.wav
data/processed\00_abnormal_00000014.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000014.wav
data/processed\00_abnormal_00000015.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000015.wav
data/processed\00_abnormal_00000016.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000016.wav
data/processed\00_abnormal_00000017.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000017.wav
data/processed\00_abnormal_00000018.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000018.wav
data/processed\00_abnormal_00000019.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000019.wav
data/processed\00_abnormal_00000020.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000020.wav
data/processed\00_abnormal_00000021.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000021.wav
data/processed\00_abnormal_00000022.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000022.wav
data/processed\00_abnormal_00000023.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000023.wav
data/processed\00_abnormal_00000024.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000024.wav
data/processed\00_abnormal_00000025.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000025.wav
data/processed\00_abnormal_00000026.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000026.wav
data/processed\00_abnormal_00000027.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000027.wav
data/processed\00_abnormal_00000028.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000028.wav
data/processed\00_abnormal_00000029.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000029.wav
data/processed\00_abnormal_00000030.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000030.wav
data/processed\00_abnormal_00000031.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000031.wav
data/processed\00_abnormal_00000032.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000032.wav
data/processed\00_abnormal_00000033.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000033.wav
data/processed\00_abnormal_00000034.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000034.wav
data/processed\00_abnormal_00000035.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000035.wav
data/processed\00_abnormal_00000036.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000036.wav
data/processed\00_abnormal_00000037.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000037.wav
data/processed\00_abnormal_00000038.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000038.wav
data/processed\00_abnormal_00000039.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000039.wav
data/processed\00_abnormal_00000040.npy,00,abnormal,1,data/raw\pump\id_00\abnormal\00000040.wav
